Generation,Best Individual
200,95979.06982196432
400,95936.62232257196
600,95805.53535004632
800,95489.37374953639
1000,95056.27181632482
1200,94925.86999150019
1400,94888.96901658112
1600,94841.44175462863
1800,94774.64193378086
2000,94624.3388929044
2200,94438.49598808952
2400,94369.14286252296
2600,94320.39891235995
2800,94093.94554215464
3000,94068.75447816281
3200,93992.46988226725
3400,93770.3382554718
3600,93616.33563683102
3800,93589.13303571889
4000,93548.24991128583
4200,93524.03011087481
4400,93476.9508136421
4600,93408.68278875128
4800,93370.64740391744
5000,93360.76906947281
