Generation,Best Individual
200,1131570.0643258996
400,854116.407093739
600,698706.4099703907
800,595736.3364900418
1000,525003.1123254426
1200,458410.8401541016
1400,406324.2877585504
1600,353301.1279694273
1800,320067.44865571865
2000,293756.2834519851
2200,264162.7925659436
2400,240589.54101018218
2600,221537.28992236115
2800,205494.6870944677
3000,192707.14882244423
3200,180582.10702089051
3400,167171.2453736018
3600,158186.44296937005
3800,150699.35080617934
4000,144289.0679144968
4200,138889.96684998574
4400,133112.91343224637
4600,130374.36817846648
4800,127324.23205312538
5000,124442.95882121503
