Generation,Best Individual
400,1.907987041788227E7
800,1.2530169274673846E7
1200,9827191.184008595
1600,8265415.631435175
2000,6794867.383064505
2400,5664844.021479767
2800,5047097.442035796
3200,4461134.349669138
3600,3966665.774805922
4000,3514295.013711923
4400,3153401.935299237
4800,2880541.4229220184
5200,2643788.703060322
5600,2474376.831873242
6000,2339715.7589142337
6400,2217238.883944511
6800,2091091.1829690922
7200,1964809.6811147765
7600,1873127.3963984428
8000,1804625.663052706
8400,1701408.224318128
8800,1633289.9259397988
9200,1533352.0490980216
9600,1475783.122147384
10000,1422387.8126553379
10400,1380019.9871748327
10800,1311225.0793932548
11200,1261079.0337038115
11600,1224835.7082420522
12000,1190339.584941876
12400,1161651.972731289
12800,1128038.143464873
13200,1063317.6584681056
13600,1032195.170005008
14000,1009663.7729690936
14400,985454.7277334287
14800,955162.3454325423
15200,934578.0199721706
15600,908272.4371460965
16000,885225.6358293392
16400,864272.6237040078
16800,847119.4873524922
17200,829412.9573294824
17600,816381.6771567144
18000,804353.5524386188
18400,795275.4397692248
18800,780746.6649569784
19200,759085.9131333755
19600,748599.3919547801
20000,734871.5351705656
20400,728020.5054477913
20800,715589.5761880603
21200,706719.2305895083
21600,695430.4096654245
22000,686938.830745739
22400,680417.4822003772
22800,674856.9560630857
23200,667072.7270894578
23600,661222.8184279577
24000,654715.7591496574
24400,645317.7013371872
24800,639402.5861176904
25200,634606.3506056364
