Generation,Best Individual
400,19290.402134528613
800,12506.838048595433
1200,10992.460910006508
1600,10649.588375494312
2000,10576.457757641276
2400,10573.773949986886
2800,10541.950072387615
3200,10540.655679344889
3600,10540.655679344889
4000,10540.655679344889
4400,10540.655679344889
4800,10540.655679344889
5200,10540.655679344889
5600,10540.655679344889
6000,10540.655679344889
6400,10540.655679344889
6800,10540.655679344889
7200,10540.655679344889
7600,10540.655679344889
8000,10540.655679344889
8400,10540.655679344889
8800,10540.655679344889
9200,10540.655679344889
9600,10540.655679344889
10000,10540.655679344889
10400,10540.655679344889
10800,10540.655679344889
11200,10540.655679344889
11600,10540.655679344889
12000,10540.655679344889
12400,10540.655679344889
12800,10540.655679344889
13200,10540.655679344889
13600,10540.655679344889
14000,10540.655679344889
14400,10540.655679344889
14800,10540.655679344889
15200,10540.655679344889
15600,10540.655679344889
16000,10540.655679344889
16400,10540.655679344889
16800,10540.655679344889
17200,10540.655679344889
17600,10540.655679344889
18000,10540.655679344889
18400,10540.655679344889
18800,10540.655679344889
19200,10540.655679344889
19600,10540.655679344889
20000,10540.655679344889
20400,10540.655679344889
20800,10540.655679344889
21200,10540.655679344889
21600,10540.655679344889
22000,10540.655679344889
22400,10540.655679344889
22800,10540.655679344889
23200,10540.655679344889
23600,10540.655679344889
24000,10540.655679344889
24400,10540.655679344889
24800,10540.655679344889
25200,10540.655679344889
