Generation,Best Individual
400,127477.7131132785
800,127026.48017434977
1200,126825.31062757519
1600,126459.73818927507
2000,126306.8355325927
2400,125543.39005427499
2800,125074.67699728279
3200,124948.23844645362
3600,124694.72479121003
4000,124440.0722464367
4400,124352.23015496576
4800,124248.36693770495
5200,124208.50766589638
5600,124174.51193974876
6000,124114.12996330905
6400,124097.62506156317
6800,124062.08300860885
7200,123595.29835262234
7600,123562.55873470439
8000,123514.27154613109
8400,123509.24177678584
8800,123397.82975502138
9200,123320.60748699041
9600,123320.60748699041
10000,123125.39705727944
10400,123109.65558431007
10800,123097.8356513633
11200,123050.90525753332
11600,122847.95594183407
12000,122844.73684809399
12400,122735.75707249052
12800,122443.4730626112
13200,122328.33754791047
13600,122298.8775440483
14000,122286.50572908112
14400,122233.06569690857
14800,122192.48422192094
15200,122192.48422192094
15600,122192.48422192094
16000,122181.9540316238
16400,122181.9540316238
16800,122181.9540316238
17200,122181.9540316238
17600,122179.91426271081
18000,122118.28624780722
18400,122097.90421572693
18800,122087.06627326111
19200,122087.06627326111
19600,122087.06627326111
20000,122044.2802919892
20400,122022.71537851643
20800,122019.6316682488
21200,122019.6316682488
21600,122010.01198565072
22000,122010.01198565072
22400,122004.19945835446
22800,121989.58459357782
23200,121967.2003294713
23600,121825.14656599321
24000,121825.14656599321
24400,121810.10971454707
24800,121804.4066878312
25200,121791.81763903295
