Generation,Best Individual
200,2927351.4427094073
400,2052251.5808007065
600,1676470.1915247233
800,1447100.0608221062
1000,1307421.5035217637
1200,1184522.3937007482
1400,1086455.797445632
1600,1016154.7715585297
1800,932001.633986358
2000,863809.4350467355
2200,796500.7673226851
2400,740644.594314933
2600,691812.2333759887
2800,643030.2007741164
3000,602569.2001047066
3200,571846.3820694309
3400,537156.3033507041
3600,505498.511486674
3800,478107.36134727864
4000,453560.50043471373
4200,428559.7933468155
4400,407493.9378083554
4600,385159.1072726789
4800,369668.5430533019
5000,351729.6968753951
