Generation,Best Individual
200,94761.24864307811
400,94761.24864307811
600,94761.24864307811
800,94761.24864307811
1000,94761.24864307811
1200,94761.24864307811
1400,94761.24864307811
1600,94761.24864307811
1800,94761.24864307811
2000,94761.24864307811
2200,94761.24864307811
2400,94761.24864307811
2600,94761.24864307811
2800,94761.24864307811
3000,94761.24864307811
3200,94761.24864307811
3400,94761.24864307811
3600,94761.24864307811
3800,94761.24864307811
4000,94761.24864307811
4200,94761.24864307811
4400,94761.24864307811
4600,94761.24864307811
4800,94761.24864307811
5000,94761.24864307811
