Generation,Best Individual
200,24183.850785547518
400,13631.808546417178
600,10997.039646084822
800,10570.054110953171
1000,10543.366467321855
1200,10543.366467321855
1400,10543.366467321855
1600,10543.366467321855
1800,10543.366467321855
2000,10543.366467321855
2200,10543.366467321855
2400,10543.366467321855
2600,10543.366467321855
2800,10543.366467321855
3000,10543.366467321855
3200,10543.366467321855
3400,10543.366467321855
3600,10543.366467321855
3800,10543.366467321855
4000,10543.366467321855
4200,10543.366467321855
4400,10543.366467321855
4600,10543.366467321855
4800,10543.366467321855
5000,10543.366467321855
