Generation,Best Individual
200,10304.4405642737
400,10304.4405642737
600,10304.4405642737
800,10304.4405642737
1000,10304.4405642737
1200,10304.4405642737
1400,10304.4405642737
1600,10304.4405642737
1800,10304.4405642737
2000,10304.4405642737
2200,10304.4405642737
2400,10304.4405642737
2600,10304.4405642737
2800,10304.4405642737
3000,10304.4405642737
3200,10304.4405642737
3400,10304.4405642737
3600,10304.4405642737
3800,10304.4405642737
4000,10304.4405642737
4200,10304.4405642737
4400,10304.4405642737
4600,10304.4405642737
4800,10304.4405642737
5000,10304.4405642737
