Generation,Best Individual
200,105660.91994178979
400,104386.76756232293
600,103305.59002221252
800,102609.78238046527
1000,102325.8810531971
1200,102094.32424691568
1400,101409.0611952547
1600,101353.2645655136
1800,101092.80542536943
2000,100738.50195380618
2200,100391.31125568836
2400,99965.42519401814
2600,99817.38874798243
2800,99629.71089584629
3000,99605.13850576713
3200,99585.29344430233
3400,99558.09520601867
3600,99523.32754277342
3800,99523.32754277342
4000,99501.6214379091
4200,99483.88727855113
4400,99468.46972277873
4600,99468.46972277873
4800,99468.46970207956
5000,99467.61099725107
